num,store,address,review,score,
205,서귀서초등학교 병설유치원,제주특별자치도 서귀포시 솜반천로 38,0,0,
206,서귀북초등학교 병설유치원,제주특별자치도 서귀포시 중앙로 175,0,5,
207,제주대학교 사라캠퍼스,제주특별자치도 제주시 일주동로 61,3,4.5,
208,오현고등학교,제주특별자치도 제주시 일주동로 101,0,2.6,
209,오현중학교,제주특별자치도 제주시 일주동로 101,1,5,
210,제주대학교교육대학부설초등학교,제주특별자치도 제주시 일주동로 61,0,0,
211,서귀포중학교,제주특별자치도 서귀포시 태평로 474,1,5,
212,서귀포초등학교,제주특별자치도 서귀포시 솔동산로11번길 17,1,0,
213,서귀포초등학교병설유치원,제주특별자치도 서귀포시 솔동산로11번길 17,0,0,
214,서귀중앙여자중학교,제주특별자치도 서귀포시 중앙로 120,2,1,
215,서귀포고등학교,제주특별자치도 서귀포시 중앙로 140,0,5,
216,서귀중앙초등학교,제주특별자치도 서귀포시 동문동로 54,2,0,
217,서귀포오석학교,제주특별자치도 서귀포시 중동로 43-2,1,0,
218,서귀중앙초등학교 병설유치원,제주특별자치도 서귀포시 중동로8번길 8,0,0,
219,남주고등학교,제주특별자치도 서귀포시 동홍로303번길 14,0,3.7,
220,남주중학교,제주특별자치도 서귀포시 동홍로303번길 14,0,5,
221,남주고등학교 아름다운창조,제주특별자치도 서귀포시 동홍로303번길 14,0,0,
222,한국폴리텍대학 제주캠퍼스,제주특별자치도 제주시 산천단동3길 2,2,5,
223,제주 지방경찰학교,제주특별자치도 제주시 516로 2927,0,5,
224,제주대학교 아라캠퍼스,제주특별자치도 제주시 제주대학로 102,38,4.1,
225,영평초등학교,제주특별자치도 제주시 아봉로 225,3,5,
226,신성여자고등학교,제주특별자치도 제주시 아봉로 174-1,1,5,
227,신성여자중학교,제주특별자치도 제주시 아봉로 174-5,0,0,
228,영평초등학교 병설유치원,제주특별자치도 제주시 아봉로 225,0,0,
229,화북초등학교,제주특별자치도 제주시 일주동로 157,3,0,
230,화북초등학교 병설유치원,제주특별자치도 제주시 일주동로 157,0,0,
231,동홍초등학교,제주특별자치도 서귀포시 동홍북로 17,3,5,
232,제주국제대학교,제주특별자치도 제주시 516로 2870,5,1,
233,영주고등학교,제주특별자치도 제주시 첨단동길 92,1,0,
234,제주중앙고등학교,제주특별자치도 제주시 아봉로 323,0,2.3,
235,삼화초등학교,제주특별자치도 제주시 화삼북로2길 27,1,4,
236,제주동중학교,제주특별자치도 제주시 동화로 12-1,0,0,
237,동화초등학교,제주특별자치도 제주시 동화로1길 44,2,0,
238,동화초등학교 병설유치원,제주특별자치도 제주시 동화로1길 44,0,0,
239,삼화초등학교 병설유치원,제주특별자치도 제주시 화삼북로2길 27,0,0,
240,삼성여자고등학교,제주특별자치도 서귀포시 검은여로 151,0,0,
241,토평초등학교,제주특별자치도 서귀포시 토평남로 86,0,0,
242,도련초등학교,제주특별자치도 제주시 화삼로 104,0,5,
243,오름중학교,제주특별자치도 제주시 화삼북로 110,0,5,
244,도련초등학교병설유치원,제주특별자치도 제주시 화삼로 104,0,0,
245,삼양초등학교,제주특별자치도 제주시 지석14길 7,0,3.7,
246,삼양초등학교 병설유치원,제주특별자치도 제주시 지석14길 7,0,0,
247,지진실내구호소 삼양초등학교,제주특별자치도 제주시 지석14길 7,0,0,
248,서귀포산업과학고등학교,제주특별자치도 서귀포시 516로 501,1,1,
249,서귀포온성학교,제주특별자치도 서귀포시 516로 447-10,1,0,
250,대기고등학교,제주특별자치도 제주시 번영로 453-6,0,5,
251,봉개초등학교,제주특별자치도 제주시 번영로 484,0,3,
252,봉개초등학교병설유치원,제주특별자치도 제주시 번영로 484,0,0,
253,보목초등학교,제주특별자치도 서귀포시 마소물로8번길 9,1,5,
254,효돈초등학교,제주특별자치도 서귀포시 효돈로 161,1,0,
