1135956896, 제주백야, 카페, 제주특별자치도 제주시 한경면 두신로 34, 126.182874573397, 33.3460883704383, 음식점 > 카페,제주특별자치도 제주시 한경면 신창리 482-1
1981634488, 제주치킨, 음식점, 제주특별자치도 제주시 한경면 두신로 39, 126.18259510296579, 33.346681580700206, 음식점 > 치킨,제주특별자치도 제주시 한경면 신창리 487-1
1382011189, 도르라미, 카페, 제주특별자치도 제주시 한경면 일주서로 4264, 126.185572826316, 33.3462251058116, 음식점 > 카페 > 테마카페 > 디저트카페,제주특별자치도 제주시 한경면 신창리 118-3
82996279, 평산제면소, 음식점, 제주특별자치도 제주시 한경면 두신로 42, 126.182926831113, 33.3468190023473, 음식점 > 일식 > 돈까스,우동,제주특별자치도 제주시 한경면 신창리 461-1
10551963, 아리랑떡집, 음식점, 제주특별자치도 제주시 한경면 두신로 45-1, 126.182466050908, 33.3471567707283, 음식점 > 간식 > 떡,한과,제주특별자치도 제주시 한경면 신창리 491
659838373, 곤지암할매소머리국밥 신창점, 음식점, 제주특별자치도 제주시 한경면 두신로 76, 126.183038041115, 33.3497489997657, 음식점 > 한식 > 국밥,제주특별자치도 제주시 한경면 신창리 262
1185248046, 곱창에미치다, 음식점, 제주특별자치도 제주시 한경면 두신로 39, 126.182596366637, 33.3465463504965, 음식점 > 한식 > 육류,고기 > 곱창,막창,제주특별자치도 제주시 한경면 신창리 487-1
1847432051, 상남자맛집, 음식점, 제주특별자치도 제주시 한경면 두신로 39, 126.1825951703618, 33.34667436842275, 음식점 > 한식,제주특별자치도 제주시 한경면 신창리 487-1
215580097, 제주밀포차, 음식점, 제주특별자치도 제주시 한경면 일주서로 4187, 126.181813126949, 33.3402426809822, 음식점 > 술집 > 실내포장마차,제주특별자치도 제주시 한경면 용수리 1244
836908144, 풍차와전복, 음식점, 제주특별자치도 제주시 한경면 두모5길 59, 126.182074922218, 33.3563576193643, 음식점 > 한식 > 해물,생선 > 굴,전복,제주특별자치도 제주시 한경면 두모리 2637-5
2112312587, 장어창고, 음식점, 제주특별자치도 제주시 한경면 두신로 146, 126.18674028834448, 33.35526037690147, 음식점 > 한식 > 해물,생선 > 장어,제주특별자치도 제주시 한경면 두모리 2462-1
15284609, 느영나영혼듸모영, 음식점, 제주특별자치도 제주시 한경면 두모1길 2, 126.183036127947, 33.3505288622534, 음식점 > 한식 > 육류,고기 > 갈비,제주특별자치도 제주시 한경면 두모리 2865
957042791, 미레이나, 카페, 제주특별자치도 제주시 한경면 두모3길 17, 126.182552342186, 33.3524063939672, 음식점 > 카페 > 테마카페,제주특별자치도 제주시 한경면 두모리 2781-1
1321505574, 카페 사분의이, 카페, 제주특별자치도 제주시 한경면 두신로 92-7, 126.18456999665649, 33.351011377463855, 음식점 > 카페,제주특별자치도 제주시 한경면 두모리 2923
1877170241, 이층빵집 굽는아방, 음식점, 제주특별자치도 제주시 한경면 두신로 88-1, 126.183700625389, 33.3506955184946, 음식점 > 간식 > 제과,베이커리,제주특별자치도 제주시 한경면 두모리 2869-1
27414959, 두모리이수사, 음식점, 제주특별자치도 제주시 한경면 두신로 112, 126.184864751153, 33.352582078662, 음식점 > 일식 > 초밥,롤,제주특별자치도 제주시 한경면 두모리 2892-2
760758974, 마돈가제트, 음식점, 제주특별자치도 제주시 한경면 두모11길 51, 126.18256349679058, 33.356959491811075, 음식점 > 한식 > 육류,고기,제주특별자치도 제주시 한경면 두모리 2621-1
818443022, 뚜레쥬르 제주한경점, 음식점, 제주특별자치도 제주시 한경면 신한로 1, 126.18334692203752, 33.350148632623885, 음식점 > 간식 > 제과,베이커리,제주특별자치도 제주시 한경면 신창리 248
712562802, DDC치킨 신창점, 음식점, 제주특별자치도 제주시 한경면 두신로 81, 126.183072927941, 33.3502694465448, 음식점 > 치킨,제주특별자치도 제주시 한경면 신창리 271
1436757802, 카페두모리에, 카페, 제주특별자치도 제주시 한경면 두모11길 52-1, 126.183061413673, 33.3574820840064, 음식점 > 카페,제주특별자치도 제주시 한경면 두모리 2611
10393240, 백일식당, 음식점, 제주특별자치도 제주시 한경면 두신로 88, 126.18362825197637, 33.35062291552587, 음식점 > 한식,제주특별자치도 제주시 한경면 두모리 2869-2
1143835840, 두모토랑, 음식점, 제주특별자치도 제주시 한경면 두모1길 24-4, 126.181299981274, 33.3513441851086, 음식점 > 술집,제주특별자치도 제주시 한경면 두모리 2802
444774790, 벚유, 카페, 제주특별자치도 제주시 한경면 두모11길 51, 126.182511429646, 33.3568978409782, 음식점 > 카페,제주특별자치도 제주시 한경면 두모리 2621-1
1553603726, 영감곤빵, 음식점, 제주특별자치도 제주시 한경면 두신로 99, 126.184090653874, 33.3517249924669, 음식점 > 간식 > 제과,베이커리,제주특별자치도 제주시 한경면 두모리 2758
541730338, 펍해마, 음식점, 제주특별자치도 제주시 한경면 두모11길 46, 126.183498124151, 33.3571964482808, 음식점 > 술집 > 호프,요리주점,제주특별자치도 제주시 한경면 두모리 2617
893353898, 마녀상회, 음식점, 제주특별자치도 서귀포시 대정읍 무릉사장로 154, 126.19098189638305, 33.25746034468198, 음식점 > 한식 > 육류,고기,제주특별자치도 서귀포시 대정읍 무릉리 3815-1
1908728172, 나무식탁, 음식점, 제주특별자치도 서귀포시 대정읍 도원로 214, 126.19150031496429, 33.27806532605741, 음식점 > 일식 > 일식집,제주특별자치도 서귀포시 대정읍 신도리 1407-1
917911797, 루페이퍼, 카페, 제주특별자치도 서귀포시 대정읍 서삼중로 217, 126.19166854300386, 33.2772820274245, 음식점 > 카페,제주특별자치도 서귀포시 대정읍 신도리 1414-3
